--------------------------------------------------------------------------------------------------------------------------------------------------------------------------
Run Date: 29.04.2019  Client  : 100   Bluescope ECC Quality                                                                                                 Page:      1
Run Time: 18:22:06    Co. Code: 1010  SLIAPK-Port Kembla SteelW                                                                            ABAP: ZFR_GRIR_REPORT_ANALYSIS
                                                                      GR/IR Analysis Report (online)
--------------------------------------------------------------------------------------------------------------------------------------------------------------------------
GR/IR Analysis of Creditors - Combined Detail Report for Clearing Date 28.02.2019.

GOODS NOT YET INVOICED



G / L Account:     800200      Trade Pbles-Ext-Accr
Expenditure type:            INVENTORY

D   Purchase Order    PO   Vendor     Vendor      Vendor name                          Account                  Value of Goods   Qty of Goods  User         Last GR    Del
R     / Item No.     Type   Ctrl        No.                                            Assign                    not invoiced    not invoiced                 Date     End
  3801114695 /    2  ECPO  800000     103317     ILLAWARRA FASTENERS PTY LTD         F     42323776                       6.00-         0.000 MAMCLE       28.02.2019 27.0
  3801114695 /    3  ECPO  800000     103317     ILLAWARRA FASTENERS PTY LTD         F     42323776                       6.00-         0.000 MAMCLE       28.02.2019 27.0
  3900608274 /    1  NB    800000     113569     LSW GROUP PTY LTD                   F     42281401                    1980.00-         0.000 BMD          20.02.2019 18.0

                                                                                                        ---------------
*     Total for category PM04                                                                                66,611.33-

Category:          PM05                        Project Work

D   Purchase Order    PO   Vendor     Vendor      Vendor name                          Account                  Value of Goods   Qty of Goods  User         Last GR    Del
R     / Item No.     Type   Ctrl        No.                                            Assign                    not invoiced    not invoiced                 Date     End

  3800970188 /    1  ECPO  800000     114547     DAYS INDUSTRIAL                     F     50015451                     139.00-         1.000 MAMACP       29.10.2018 02.0
  3800982866 /    1  ECPO  800000     115513     KINGFISHER MARITIME SUPPLIES        F     50015754                    1492.00-         8.000 MAWALC1      17.01.2019 28.0
  3801020553 /    1  ECPO  800000     103317     ILLAWARRA FASTENERS PTY LTD         F     50015451                     400.00-         1.000 MAMACP       09.10.2018 07.0
  3801060117 /    1  ECPO  800000     114547     DAYS INDUSTRIAL                     F     50016820                     630.30-         6.000 MAMACP       24.08.2018 26.0
  3801079624 /    1  ECPO  800000     103649     INDUSTRIAL PLANT & SERVICE AUSTRALI F     50016857                   46897.80-         0.690 MAPARG2      05.11.2018 05.1
  3801102308 /    1  ECPO  800000     104583     B&E GAS SUPPLIES PTY LTD            F     50016820                     382.20-         4.000 MAMACP       21.01.2019 03.0
  3801102309 /    1  ECPO  800000     104583     B&E GAS SUPPLIES PTY LTD            F     50016820                     780.00-       400.000 MAMACP       21.01.2019 14.0
  3801106996 /    1  ECPO  800000     104583     B&E GAS SUPPLIES PTY LTD            F     50016820                       8.90-         1.000 MAMACP       07.02.2019 25.0
  3801106996 /    2  ECPO  800000     104583     B&E GAS SUPPLIES PTY LTD            F     50016820                       8.05-         1.000 MAMACP       07.02.2019 25.0
  3801106996 /    3  ECPO  800000     104583     B&E GAS SUPPLIES PTY LTD            F     50016820                       8.25-         1.000 MAMACP       07.02.2019 25.0
  3801106996 /    4  ECPO  800000     104583     B&E GAS SUPPLIES PTY LTD            F     50016820                       3.00-         2.000 MAMACP       07.02.2019 25.0
  3801106996 /    5  ECPO  800000     104583     B&E GAS SUPPLIES PTY LTD            F     50016820                     192.50-         1.000 MAMACP       07.02.2019 25.0
  3801106996 /    6  ECPO  800000     104583     B&E GAS SUPPLIES PTY LTD            F     50016820                     105.00-         3.000 MAMACP       07.02.2019 25.0
  3801109796 /    2  ECPO  800000     104983     REECE PTY LTD                       F     50017209                     122.17-         1.000 MA9RIED      13.02.2019 08.0
  3801110273 /    1  ECPO  800000     103793     PIPE & ENGINEERING SUPPLY CO PTY LT F     50017280                     856.80-         1.000 MAWALC1      18.02.2019 15.0
  3801110501 /    1  ECPO  800000     103352     TRIPLE I PTY LTD                    F     50017333                    9351.70-         0.000 MA9ALEL      28.02.2019 13.0
  3801112223 /    1  ECPO  800000     116638     HEAT TECH AUSTRALIA PTY LTD         F     50017042                   24455.00-         0.000 MA9CAMG      28.02.2019 18.0
  3801113335 /    1  ECPO  800000     103851     BOOTH SIGNS AUST PTY LTD            F     50016267                     150.00-         1.000 MA9BIRL      27.02.2019 26.0

                                                                                                        ---------------
*     Total for category PM05                                                                                85,982.67-

Category:          PM07                        Manufacturing and Refurbishment

D   Purchase Order    PO   Vendor     Vendor      Vendor name                          Account                  Value of Goods   Qty of Goods  User         Last GR    Del
R     / Item No.     Type   Ctrl        No.                                            Assign                    not invoiced    not invoiced                 Date     End

  3801074088 /    1  ECPO  800000     108153     TECO AUSTRALIA PTY LTD              F     70024110                   60606.00-         0.000 MALLOC1      22.02.2019 20.0
  3801113198 /    1  ECPO  800000     101689     ZZ ENGINEERING PTY LTD              F     70024238                     540.00-         0.000 MAVALD       25.02.2019 14.0
  3801113233 /    1  ECPO  800000     101689     ZZ ENGINEERING PTY LTD              F     70025583                     550.00-         0.000 MASPIB       25.02.2019 26.0

                                                                                                        ---------------
*     Total for category PM07                                                                                61,696.00-
                                                                                                        ---------------
**    Total for expenditure type F                                                                        1,545,694.60-

Expenditure type:  K         Cost center

D   Purchase Order    PO   Vendor     Vendor      Vendor name                          Account                  Value of Goods   Qty of Goods  User         Last GR    Del
R     / Item No.     Type   Ctrl        No.                                            Assign                    not invoiced    not invoiced                 Date     End

  3800596847 /    1  ECPO  800000     110002     NATIONAL MEASUREMENT INSTITUTE      K   10783700                       574.00-         3.000 MA9QUIS1     15.01.2019 03.0
  3800686755 /    1  ECPO  800000     105783     OMYA SOUTHERN PTY LTD               K   10777500                      2381.23-        39.780 MAWEIM       27.09.2018 01.0
  3800717344 /    1  ECPO  800000     103976     CLEANAWAY                           K   10777500                      2804.97-         1.000 MAWEIM       03.10.2018 14.1
  3800763543 /    1  ECPO  800000     103162     ALSCO PTY LTD                       K   10776200                       472.34-         2.000 MAKUMK       31.03.2018 08.0
  3800871474 /    1  ECPO  800000     103237     HERAEUS ELECTRO NITE (AUST) PTY LTD K   10780500                       131.10-         1.000 MAHAMS2      14.02.2019 30.0
  3800871535 /    1  ECPO  800000     103237     HERAEUS ELECTRO NITE (AUST) PTY LTD K   10760500                       203.55-         1.000 MAHAMS2      12.12.2018 07.0
  3800962430 /    1  ECPO  800000     103868     CROWN LIFT TRUCKS                   K   10410300                      1168.06-         1.000 QAMITB       01.07.2018 31.0
  3800962698 /    1  ECPO  800000     103849     BISALLOY STEELS PTY LTD             K   10765910                     10000.00-         1.000 MAMAYK       16.01.2019 30.0
  3800982289 /    1  ECPO  800000     102610     UNANDERRA TANKER HIRE PTY LTD       K   10651301                       384.64-         1.000 MAWATB1      16.05.2018 01.0
  3800983309 /    1  ECPO  800000     101799     ANSTO                               K   10777500                      1700.00-         1.000 MACAUM       05.02.2019 27.0
  3800983896 /    1  ECPO  800000     103573     DICKINSONS METALLURGICAL SUPPLIES   K   10760440                      8331.96-      3822.000 MALOVM       11.01.2019 03.1
  3800993557 /    1  ECPO  800000     109150     LINX STEVEDORING PTY LTD            K   10410100                    193177.96-         2.000 UC9ELDJ      09.03.2018 31.0
  3800996261 /    1  ECPO  800000     101689     ZZ ENGINEERING PTY LTD              K   10623600                      5040.00-         4.000 MAANDT       21.06.2018 22.1
  3800996707 /    6  ECPO  800000     200791     TMEIC JAPAN                         K   10684610                         1.00-         0.000 MADEGJ       17.05.2018 30.0
  3800997569 /    1  ECPO  800000     103539     HATCH PTY LTD                       K   10604994                      9048.00-      9048.000 MABRAD1      25.01.2019 28.1
  3801001045 /    1  ECPO  800000     103237     HERAEUS ELECTRO NITE (AUST) PTY LTD K   10760440                       203.55-         1.000 MAHAMS2      14.02.2019 11.1
  3801005809 /    1  ECPO  800000     116738     EMS EQUIPMENT HIRE PTY LTD          K   10621740                     17715.22-         1.000 UCBOOC       28.02.2018 21.1
  3801020989 /    1  ECPO  800000     103237     HERAEUS ELECTRO NITE (AUST) PTY LTD K   10760900                       579.60-         2.000 MAHAMS2      14.02.2019 08.0
  3801023386 /    1  ECPO  800000     116738     EMS EQUIPMENT HIRE PTY LTD          K   10621740                     50196.00-         3.000 MAKITS       02.08.2018 30.0
  3801031555 /    3  ECPO  800000     111163     STRUERS AS                          K   10604600                        33.00-         1.000 MAGILD3      19.07.2018 18.0
  3801031730 /    1  ECPO  800000     103214     HARE & FORBES PTY LTD               K   10623600                        94.50-         3.000 MAANDT       16.04.2018 26.0
  3801035195 /    1  ECPO  800000     102393     HAYS PERSONNEL SERVICES             K   10685000                      2188.52-         1.000 MAGIBS       07.05.2018 27.0
  3801035875 /    1  ECPO  800000     115283     USE 117242 ILLAWARRA GROUNDS & SURR K   10784830                       770.00-         1.000 MAWILS1      03.05.2018 23.0
  3801036024 /    1  ECPO  800000     110447     BUREAU VERITAS ASSET INTEG & RELIAB K   10604991                     10090.20-      2995.000 MABRAD1      29.01.2019 30.0
  3801037051 /    1  ECPO  800000     103237     HERAEUS ELECTRO NITE (AUST) PTY LTD K   10780500                      2239.05-        11.000 MAHAMS2      14.02.2019 30.0
  3801037163 /    1  ECPO  800000     103162     ALSCO PTY LTD                       K   10776200                       240.70-         2.000 MAKUMK       30.09.2018 03.0
  3801037296 /    1  ECPO  800000     103573     DICKINSONS METALLURGICAL SUPPLIES   K   10760440                      8464.67-         1.000 MA9BOUS      11.10.2018 31.0
  3801037296 /    2  ECPO  800000     103573     DICKINSONS METALLURGICAL SUPPLIES   K   10760440                      8426.52-         1.000 MA9BOUS      29.10.2018 31.0
  3801037479 /    1  ECPO  800000     111959     NSW WATER SOLUTIONS                 K   10783700                       150.00-         1.000 MAFRAS       18.06.2018 07.0
  3801039297 /    1  ECPO  800000     103699     NHP ELECTRICAL ENGINEERING PRODUCTS K   10784840                     29897.94-         0.800 MANICM       24.10.2018 31.0
  3801040594 /    1  ECPO  800000     104357     INSIGNIA PTY LTD                    K   10998100                       361.76-        28.000 MAWILS1      25.05.2018 23.0
  3801040594 /    2  ECPO  800000     104357     INSIGNIA PTY LTD                    K   10998100                      1208.28-        12.000 MAWILS1      25.05.2018 23.0
